iso3_country,location,sector,year,total_emission
ARG,Buenos Aires,agriculture,2021,456218.0105120462
ARG,Buenos Aires,waste,2021,281837.3369419603
ARG,Buenos Aires,fossil-fuel-operations,2021,31012.764801940815
ARG,Buenos Aires,manufacturing,2021,6846.938675389315
ARG,Buenos Aires,other-energy-use,2021,2934.5856292061526
ARG,Buenos Aires,transportation,2021,976.3190701540394
ARG,Buenos Aires,power,2021,450.8669299321575
ARG,Buenos Aires,land-use-change,2021,3.8867910990000003
ARG,Buenos Aires,agriculture,2022,459578.5733108712
ARG,Buenos Aires,waste,2022,283158.49732450856
ARG,Buenos Aires,fossil-fuel-operations,2022,27992.87652262664
ARG,Buenos Aires,manufacturing,2022,6674.109500897364
ARG,Buenos Aires,other-energy-use,2022,2943.5818763012244
ARG,Buenos Aires,transportation,2022,996.4745786844089
ARG,Buenos Aires,power,2022,460.3958960394334
ARG,Buenos Aires,land-use-change,2022,0.40880250100000004
ARG,Buenos Aires,agriculture,2023,457085.9438063987
ARG,Buenos Aires,waste,2023,286854.9645661252
ARG,Buenos Aires,fossil-fuel-operations,2023,16851.919383088498
ARG,Buenos Aires,manufacturing,2023,6877.898812897358
ARG,Buenos Aires,other-energy-use,2023,2926.8321297522753
ARG,Buenos Aires,transportation,2023,942.3166337318197
ARG,Buenos Aires,power,2023,460.3958960394333
ARG,Buenos Aires,land-use-change,2023,19.760794483999998
ARG,Buenos Aires,agriculture,2024,457085.94380639883
ARG,Buenos Aires,waste,2024,290658.2985925759
ARG,Buenos Aires,fossil-fuel-operations,2024,16851.919383429897
ARG,Buenos Aires,manufacturing,2024,6877.898812897356
ARG,Buenos Aires,other-energy-use,2024,2919.4907352090995
ARG,Buenos Aires,transportation,2024,1213.262470075106
ARG,Buenos Aires,power,2024,460.39589603943307
ARG,Buenos Aires,land-use-change,2024,4.960851422
ARG,Catamarca,agriculture,2021,42407.80582188176
ARG,Catamarca,waste,2021,1172.0526359837525
ARG,Catamarca,fossil-fuel-operations,2021,959.0143587782115
ARG,Catamarca,manufacturing,2021,149.1567934073468
ARG,Catamarca,other-energy-use,2021,90.087967019087
ARG,Catamarca,transportation,2021,34.64653285280536
ARG,Catamarca,power,2021,14.062430364943399
ARG,Catamarca,agriculture,2022,43090.61222859491
ARG,Catamarca,waste,2022,1181.951128821725
ARG,Catamarca,fossil-fuel-operations,2022,864.5277930166402
ARG,Catamarca,manufacturing,2022,148.26037467322323
ARG,Catamarca,other-energy-use,2022,91.03040291539523
ARG,Catamarca,transportation,2022,34.74650610377181
ARG,Catamarca,power,2022,14.359636510343421
ARG,Catamarca,agriculture,2023,41796.07781246201
ARG,Catamarca,waste,2023,1192.9636089282637
ARG,Catamarca,fossil-fuel-operations,2023,516.5187767778086
ARG,Catamarca,manufacturing,2023,148.2603746732232
ARG,Catamarca,other-energy-use,2023,90.83602933218995
ARG,Catamarca,transportation,2023,38.55223911455358
ARG,Catamarca,power,2023,14.35963651034343
ARG,Catamarca,agriculture,2024,41796.07781246203
ARG,Catamarca,waste,2024,1205.1974166035338
ARG,Catamarca,fossil-fuel-operations,2024,516.5187767884594
ARG,Catamarca,manufacturing,2024,148.26037467322323
ARG,Catamarca,other-energy-use,2024,90.60705301414303
ARG,Catamarca,transportation,2024,57.91714186183844
ARG,Catamarca,power,2024,14.35963651034341
ARG,Chaco,agriculture,2021,78861.05774155448
ARG,Chaco,waste,2021,5860.394657750053
ARG,Chaco,fossil-fuel-operations,2021,2365.967324404853
ARG,Chaco,manufacturing,2021,253.3094378050472
ARG,Chaco,other-energy-use,2021,207.57349427446624
ARG,Chaco,transportation,2021,88.12962454026106
ARG,Chaco,power,2021,34.69317267320422
ARG,Chaco,agriculture,2022,79373.89621399956
ARG,Chaco,waste,2022,5887.499093159014
ARG,Chaco,fossil-fuel-operations,2022,2132.861192947224
ARG,Chaco,manufacturing,2022,251.90058245392336
ARG,Chaco,other-energy-use,2022,207.60974758551683
ARG,Chaco,transportation,2022,88.97253054960996
ARG,Chaco,power,2022,35.42640468604352
ARG,Chaco,agriculture,2023,78103.18578369262
ARG,Chaco,waste,2023,5960.216278135911
ARG,Chaco,fossil-fuel-operations,2023,1274.294318027496
ARG,Chaco,manufacturing,2023,251.90058245392314
ARG,Chaco,other-energy-use,2023,207.87298061039738
ARG,Chaco,transportation,2023,95.73692825219327
ARG,Chaco,power,2023,35.42640468604352
ARG,Chaco,agriculture,2024,78103.18578369262
ARG,Chaco,waste,2024,6036.977615768639
ARG,Chaco,fossil-fuel-operations,2024,1274.294318053776
ARG,Chaco,manufacturing,2024,251.90058245392322
ARG,Chaco,other-energy-use,2024,207.30807719513282
ARG,Chaco,transportation,2024,146.5780071736875
ARG,Chaco,power,2024,35.42640468604352
ARG,Chubut,agriculture,2021,536684.19418091
ARG,Chubut,fossil-fuel-operations,2021,2413.634161137756
ARG,Chubut,waste,2021,1844.8343584056076
ARG,Chubut,land-use-change,2021,1400.606751267
ARG,Chubut,manufacturing,2021,258.41283018507204
ARG,Chubut,other-energy-use,2021,148.16428941951085
ARG,Chubut,transportation,2021,81.85622266993562
ARG,Chubut,power,2021,35.3921315220868
ARG,Chubut,agriculture,2022,538268.181676965
ARG,Chubut,fossil-fuel-operations,2022,2175.831670691976
ARG,Chubut,waste,2022,1860.4072499833574
ARG,Chubut,land-use-change,2022,986.63324723
ARG,Chubut,manufacturing,2022,256.9755908079684
ARG,Chubut,other-energy-use,2022,150.50459538456425
ARG,Chubut,transportation,2022,79.6695800957875
ARG,Chubut,power,2022,36.14013586516196
ARG,Chubut,agriculture,2023,535405.5859138761
ARG,Chubut,waste,2023,1877.7480518983095
ARG,Chubut,fossil-fuel-operations,2023,1299.967360330548
ARG,Chubut,land-use-change,2023,1228.98117601
ARG,Chubut,manufacturing,2023,256.97559080796844
ARG,Chubut,other-energy-use,2023,148.28549967836173
ARG,Chubut,transportation,2023,83.3610591763156
ARG,Chubut,power,2023,36.140135865161966
ARG,Chubut,agriculture,2024,535405.585913876
ARG,Chubut,waste,2024,1897.0116989532776
ARG,Chubut,land-use-change,2024,1323.87420722
ARG,Chubut,fossil-fuel-operations,2024,1299.967360357356
ARG,Chubut,manufacturing,2024,256.97559080796833
ARG,Chubut,other-energy-use,2024,147.70921522727838
ARG,Chubut,transportation,2024,117.27458576383445
ARG,Chubut,power,2024,36.14013586516196
ARG,Ciudad de Buenos Aires,waste,2021,8388.896552130967
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2021,1868.9065291061402
ARG,Ciudad de Buenos Aires,manufacturing,2021,571.94084593038
ARG,Ciudad de Buenos Aires,other-energy-use,2021,414.9592513174977
ARG,Ciudad de Buenos Aires,agriculture,2021,169.15545107968998
ARG,Ciudad de Buenos Aires,transportation,2021,44.78416876372444
ARG,Ciudad de Buenos Aires,power,2021,27.40456144746962
ARG,Ciudad de Buenos Aires,waste,2022,8459.71079499752
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2022,1684.773144607512
ARG,Ciudad de Buenos Aires,manufacturing,2022,568.2251148399247
ARG,Ciudad de Buenos Aires,other-energy-use,2022,415.65868543538187
