iso3_country,location,year,month,total_emission
ARG,Buenos Aires,2021,1,63185.45375879529
ARG,Buenos Aires,2021,2,63073.794366256436
ARG,Buenos Aires,2021,3,65527.666951786014
ARG,Buenos Aires,2021,4,66902.07729390894
ARG,Buenos Aires,2021,5,65578.41706704612
ARG,Buenos Aires,2021,6,64006.896728211716
ARG,Buenos Aires,2021,7,63815.4103826228
ARG,Buenos Aires,2021,8,64119.13066531724
ARG,Buenos Aires,2021,9,65857.56222286902
ARG,Buenos Aires,2021,10,67493.33913589464
ARG,Buenos Aires,2021,11,66014.4323055537
ARG,Buenos Aires,2021,12,64706.52847346613
ARG,Buenos Aires,2022,1,63356.79178760984
ARG,Buenos Aires,2022,2,63180.99198737019
ARG,Buenos Aires,2022,3,65296.31215988949
ARG,Buenos Aires,2022,4,66702.17710002749
ARG,Buenos Aires,2022,5,65626.76711774526
ARG,Buenos Aires,2022,6,64289.39361189883
ARG,Buenos Aires,2022,7,64164.80690092517
ARG,Buenos Aires,2022,8,64417.28257753767
ARG,Buenos Aires,2022,9,65812.698284674
ARG,Buenos Aires,2022,10,67486.4875761501
ARG,Buenos Aires,2022,11,66262.28147150145
ARG,Buenos Aires,2022,12,65208.92723710032
ARG,Buenos Aires,2023,1,63560.68027908972
ARG,Buenos Aires,2023,2,63384.24529357586
ARG,Buenos Aires,2023,3,65493.609020935095
ARG,Buenos Aires,2023,4,65863.27146520384
ARG,Buenos Aires,2023,5,64783.493003068856
ARG,Buenos Aires,2023,6,63444.93672252577
ARG,Buenos Aires,2023,7,63382.069578533556
ARG,Buenos Aires,2023,8,63625.149829617214
ARG,Buenos Aires,2023,9,65033.49455288453
ARG,Buenos Aires,2023,10,65652.8510474243
ARG,Buenos Aires,2023,11,64423.87310240234
ARG,Buenos Aires,2023,12,63372.3581272562
ARG,Buenos Aires,2024,1,63899.832767224776
ARG,Buenos Aires,2024,2,63864.58659607361
ARG,Buenos Aires,2024,3,65833.09918740224
ARG,Buenos Aires,2024,4,66206.17514146854
ARG,Buenos Aires,2024,5,65124.6618631858
ARG,Buenos Aires,2024,6,63786.93725783924
ARG,Buenos Aires,2024,7,63714.83150864758
ARG,Buenos Aires,2024,8,63957.55129395331
ARG,Buenos Aires,2024,9,65334.17740195992
ARG,Buenos Aires,2024,10,65953.13428437935
ARG,Buenos Aires,2024,11,64724.397472872835
ARG,Buenos Aires,2024,12,63672.785773040414
ARG,Catamarca,2021,1,3641.177042435669
ARG,Catamarca,2021,2,3634.9366769307608
ARG,Catamarca,2021,3,3669.560040688256
ARG,Catamarca,2021,4,3734.769420455767
ARG,Catamarca,2021,5,3719.94818572275
ARG,Catamarca,2021,6,3700.4447751650587
ARG,Catamarca,2021,7,3743.8124498320126
ARG,Catamarca,2021,8,3747.182349089234
ARG,Catamarca,2021,9,3765.6081902449987
ARG,Catamarca,2021,10,3839.6813382913615
ARG,Catamarca,2021,11,3821.746355449047
ARG,Catamarca,2021,12,3807.959715982993
ARG,Catamarca,2022,1,3656.4403203434376
ARG,Catamarca,2022,2,3649.718692337168
ARG,Catamarca,2022,3,3682.0254918831383
ARG,Catamarca,2022,4,3782.5075093548417
ARG,Catamarca,2022,5,3769.3804204958324
ARG,Catamarca,2022,6,3751.347002355489
ARG,Catamarca,2022,7,3795.539810190551
ARG,Catamarca,2022,8,3798.5916521325125
ARG,Catamarca,2022,9,3814.557592545742
ARG,Catamarca,2022,10,3923.2122127353996
ARG,Catamarca,2022,11,3907.1326950633156
ARG,Catamarca,2022,12,3895.0346711985762
ARG,Catamarca,2023,1,3692.4734800514307
ARG,Catamarca,2023,2,3685.744108839372
ARG,Catamarca,2023,3,3718.0892206958665
ARG,Catamarca,2023,4,3648.910249511112
ARG,Catamarca,2023,5,3635.8240864191052
ARG,Catamarca,2023,6,3617.666390213009
ARG,Catamarca,2023,7,3659.8155808591373
ARG,Catamarca,2023,8,3662.8410031715975
ARG,Catamarca,2023,9,3678.7977574164124
ARG,Catamarca,2023,10,3613.88320766029
ARG,Catamarca,2023,11,3597.8019496145
ARG,Catamarca,2023,12,3585.721443346563
ARG,Catamarca,2024,1,3695.7733236156573
ARG,Catamarca,2024,2,3692.204290032234
ARG,Catamarca,2024,3,3721.3863438905832
ARG,Catamarca,2024,4,3652.1278800019077
ARG,Catamarca,2024,5,3639.1077702312236
ARG,Catamarca,2024,6,3620.8070468237515
ARG,Catamarca,2024,7,3662.8755617159695
ARG,Catamarca,2024,8,3665.8796684303966
ARG,Catamarca,2024,9,3679.446478192191
ARG,Catamarca,2024,10,3614.520690867997
ARG,Catamarca,2024,11,3598.4457274809724
ARG,Catamarca,2024,12,3586.3634306306817
ARG,Chaco,2021,1,7133.681541828672
ARG,Chaco,2021,2,7128.536838369239
ARG,Chaco,2021,3,7296.6695092037235
ARG,Chaco,2021,4,7422.571655774716
ARG,Chaco,2021,5,7328.426858572349
ARG,Chaco,2021,6,7220.033068801506
ARG,Chaco,2021,7,7231.882069397591
ARG,Chaco,2021,8,7252.92721262637
ARG,Chaco,2021,9,7376.742889816073
ARG,Chaco,2021,10,7525.6610453368585
ARG,Chaco,2021,11,7423.094776752694
ARG,Chaco,2021,12,7330.897986522569
ARG,Chaco,2022,1,7134.045235247708
ARG,Chaco,2022,2,7126.371045047206
ARG,Chaco,2022,3,7280.53133433916
ARG,Chaco,2022,4,7434.802353425856
ARG,Chaco,2022,5,7350.888814853798
ARG,Chaco,2022,6,7252.142159563225
ARG,Chaco,2022,7,7267.116940517263
ARG,Chaco,2022,8,7286.027471969665
ARG,Chaco,2022,9,7395.407824383566
ARG,Chaco,2022,10,7572.2603393608315
ARG,Chaco,2022,11,7480.2839213847565
ARG,Chaco,2022,12,7398.288325287858
ARG,Chaco,2023,1,7132.968560722383
ARG,Chaco,2023,2,7125.25844620718
ARG,Chaco,2023,3,7279.446306934045
ARG,Chaco,2023,4,7264.1192981113245
ARG,Chaco,2023,5,7180.226453921916
ARG,Chaco,2023,6,7081.184244456485
ARG,Chaco,2023,7,7095.98363556062
ARG,Chaco,2023,8,7114.902263004719
ARG,Chaco,2023,9,7224.330077999217
ARG,Chaco,2023,10,7231.948470080871
ARG,Chaco,2023,11,7140.098724726888
ARG,Chaco,2023,12,7058.166794132936
ARG,Chaco,2024,1,7145.085810656973
ARG,Chaco,2024,2,7146.120464982432
ARG,Chaco,2024,3,7291.748014788214
ARG,Chaco,2024,4,7276.296987636466
ARG,Chaco,2024,5,7192.644939639317
ARG,Chaco,2024,6,7093.252577145786
ARG,Chaco,2024,7,7107.832670313845
ARG,Chaco,2024,8,7126.663586937002
ARG,Chaco,2024,9,7229.715084904255
ARG,Chaco,2024,10,7237.304839486199
ARG,Chaco,2024,11,7145.471537067998
ARG,Chaco,2024,12,7063.534275465337
